,Year,name,value,predicted,Year2
1,1957,Cousin,30,NA,1957
2,1957,Cousine,NA,NA,1957
3,1957,Aride,NA,NA,1957
4,1957,Denis,NA,NA,1957
5,1957,Fregate,NA,NA,1957
6,1958,Cousin,30,NA,1958
7,1958,Cousine,NA,NA,1958
8,1958,Aride,NA,NA,1958
9,1958,Denis,NA,NA,1958
10,1958,Fregate,NA,NA,1958
11,1959,Cousin,26,NA,1959
12,1959,Cousine,NA,NA,1959
13,1959,Aride,NA,NA,1959
14,1959,Denis,NA,NA,1959
15,1959,Fregate,NA,NA,1959
16,1960,Cousin,26,NA,1960
17,1960,Cousine,NA,NA,1960
18,1960,Aride,NA,NA,1960
19,1960,Denis,NA,NA,1960
20,1960,Fregate,NA,NA,1960
21,1961,Cousin,26,NA,1961
22,1961,Cousine,NA,NA,1961
23,1961,Aride,NA,NA,1961
24,1961,Denis,NA,NA,1961
25,1961,Fregate,NA,NA,1961
26,1962,Cousin,26,NA,1962
27,1962,Cousine,NA,NA,1962
28,1962,Aride,NA,NA,1962
29,1962,Denis,NA,NA,1962
30,1962,Fregate,NA,NA,1962
31,1963,Cousin,26,NA,1963
32,1963,Cousine,NA,NA,1963
33,1963,Aride,NA,NA,1963
34,1963,Denis,NA,NA,1963
35,1963,Fregate,NA,NA,1963
36,1964,Cousin,26,NA,1964
37,1964,Cousine,NA,NA,1964
38,1964,Aride,NA,NA,1964
39,1964,Denis,NA,NA,1964
40,1964,Fregate,NA,NA,1964
41,1965,Cousin,50,NA,1965
42,1965,Cousine,NA,NA,1965
43,1965,Aride,NA,NA,1965
44,1965,Denis,NA,NA,1965
45,1965,Fregate,NA,NA,1965
46,1966,Cousin,50,NA,1966
47,1966,Cousine,NA,NA,1966
48,1966,Aride,NA,NA,1966
49,1966,Denis,NA,NA,1966
50,1966,Fregate,NA,NA,1966
51,1967,Cousin,50,NA,1967
52,1967,Cousine,NA,NA,1967
53,1967,Aride,NA,NA,1967
54,1967,Denis,NA,NA,1967
55,1967,Fregate,NA,NA,1967
56,1968,Cousin,50,NA,1968
57,1968,Cousine,NA,NA,1968
58,1968,Aride,NA,NA,1968
59,1968,Denis,NA,NA,1968
60,1968,Fregate,NA,NA,1968
61,1969,Cousin,50,NA,1969
62,1969,Cousine,NA,NA,1969
63,1969,Aride,NA,NA,1969
64,1969,Denis,NA,NA,1969
65,1969,Fregate,NA,NA,1969
66,1970,Cousin,50,NA,1970
67,1970,Cousine,NA,NA,1970
68,1970,Aride,NA,NA,1970
69,1970,Denis,NA,NA,1970
70,1970,Fregate,NA,NA,1970
71,1971,Cousin,50,NA,1971
72,1971,Cousine,NA,NA,1971
73,1971,Aride,NA,NA,1971
74,1971,Denis,NA,NA,1971
75,1971,Fregate,NA,NA,1971
76,1972,Cousin,90,NA,1972
77,1972,Cousine,NA,NA,1972
78,1972,Aride,NA,NA,1972
79,1972,Denis,NA,NA,1972
80,1972,Fregate,NA,NA,1972
81,1973,Cousin,210,NA,1973
82,1973,Cousine,NA,NA,1973
83,1973,Aride,NA,NA,1973
84,1973,Denis,NA,NA,1973
85,1973,Fregate,NA,NA,1973
86,1974,Cousin,210,NA,1974
87,1974,Cousine,NA,NA,1974
88,1974,Aride,NA,NA,1974
89,1974,Denis,NA,NA,1974
90,1974,Fregate,NA,NA,1974
91,1975,Cousin,269,NA,1975
92,1975,Cousine,NA,NA,1975
93,1975,Aride,NA,NA,1975
94,1975,Denis,NA,NA,1975
95,1975,Fregate,NA,NA,1975
96,1976,Cousin,269,NA,1976
97,1976,Cousine,NA,NA,1976
98,1976,Aride,NA,NA,1976
99,1976,Denis,NA,NA,1976
100,1976,Fregate,NA,NA,1976
101,1977,Cousin,269,NA,1977
102,1977,Cousine,NA,NA,1977
103,1977,Aride,NA,NA,1977
104,1977,Denis,NA,NA,1977
105,1977,Fregate,NA,NA,1977
106,1978,Cousin,280,NA,1978
107,1978,Cousine,NA,NA,1978
108,1978,Aride,NA,NA,1978
109,1978,Denis,NA,NA,1978
110,1978,Fregate,NA,NA,1978
111,1979,Cousin,280,NA,1979
112,1979,Cousine,NA,NA,1979
113,1979,Aride,NA,NA,1979
114,1979,Denis,NA,NA,1979
115,1979,Fregate,NA,NA,1979
116,1980,Cousin,280,NA,1980
117,1980,Cousine,NA,NA,1980
118,1980,Aride,NA,NA,1980
119,1980,Denis,NA,NA,1980
120,1980,Fregate,NA,NA,1980
121,1981,Cousin,295,NA,1981
122,1981,Cousine,NA,NA,1981
123,1981,Aride,NA,NA,1981
124,1981,Denis,NA,NA,1981
125,1981,Fregate,NA,NA,1981
126,1982,Cousin,320,NA,1982
127,1982,Cousine,NA,NA,1982
128,1982,Aride,NA,NA,1982
129,1982,Denis,NA,NA,1982
130,1982,Fregate,NA,NA,1982
131,1983,Cousin,310,NA,1983
132,1983,Cousine,NA,NA,1983
133,1983,Aride,NA,NA,1983
134,1983,Denis,NA,NA,1983
135,1983,Fregate,NA,NA,1983
136,1984,Cousin,320,NA,1984
137,1984,Cousine,NA,NA,1984
138,1984,Aride,NA,NA,1984
139,1984,Denis,NA,NA,1984
140,1984,Fregate,NA,NA,1984
141,1985,Cousin,330,NA,1985
142,1985,Cousine,NA,NA,1985
143,1985,Aride,NA,NA,1985
144,1985,Denis,NA,NA,1985
145,1985,Fregate,NA,NA,1985
146,1986,Cousin,315,NA,1986
147,1986,Cousine,NA,NA,1986
148,1986,Aride,NA,NA,1986
149,1986,Denis,NA,NA,1986
150,1986,Fregate,NA,NA,1986
151,1987,Cousin,329,NA,1987
152,1987,Cousine,NA,NA,1987
153,1987,Aride,NA,NA,1987
154,1987,Denis,NA,NA,1987
155,1987,Fregate,NA,NA,1987
156,1988,Cousin,330,NA,1988
157,1988,Cousine,NA,NA,1988
158,1988,Aride,29,NA,1988
159,1988,Denis,NA,NA,1988
160,1988,Fregate,NA,NA,1988
161,1989,Cousin,311,NA,1989
162,1989,Cousine,NA,NA,1989
163,1989,Aride,44,NA,1989
164,1989,Denis,NA,NA,1989
165,1989,Fregate,NA,NA,1989
166,1990,Cousin,316,NA,1990
167,1990,Cousine,29,NA,1990
168,1990,Aride,115,NA,1990
169,1990,Denis,NA,NA,1990
170,1990,Fregate,NA,NA,1990
171,1991,Cousin,325,NA,1991
172,1991,Cousine,43,NA,1991
173,1991,Aride,210,NA,1991
174,1991,Denis,NA,NA,1991
175,1991,Fregate,NA,NA,1991
176,1992,Cousin,325,NA,1992
177,1992,Cousine,43,NA,1992
178,1992,Aride,240,NA,1992
179,1992,Denis,NA,NA,1992
180,1992,Fregate,NA,NA,1992
181,1993,Cousin,320,NA,1993
182,1993,Cousine,43,NA,1993
183,1993,Aride,413,ID2,1993
184,1993,Denis,NA,NA,1993
185,1993,Fregate,NA,NA,1993
186,1994,Cousin,305,NA,1994
187,1994,Cousine,80,NA,1994
188,1994,Aride,650,ID2,1994
189,1994,Denis,NA,NA,1994
190,1994,Fregate,NA,NA,1994
191,1995,Cousin,326,NA,1995
192,1995,Cousine,119,NA,1995
193,1995,Aride,897,NA,1995
194,1995,Denis,NA,NA,1995
195,1995,Fregate,NA,NA,1995
196,1996,Cousin,322,NA,1996
197,1996,Cousine,135,NA,1996
198,1996,Aride,1600,NA,1996
199,1996,Denis,NA,NA,1996
200,1996,Fregate,NA,NA,1996
201,1997,Cousin,290,NA,1997
202,1997,Cousine,137,NA,1997
203,1997,Aride,,NA,1997
204,1997,Denis,NA,NA,1997
205,1997,Fregate,NA,NA,1997
206,1998,Cousin,291,NA,1998
207,1998,Cousine,,NA,1998
208,1998,Aride,,NA,1998
209,1998,Denis,NA,NA,1998
210,1998,Fregate,NA,NA,1998
211,1999,Cousin,293,NA,1999
212,1999,Cousine,,NA,1999
213,1999,Aride,,NA,1999
214,1999,Denis,NA,NA,1999
215,1999,Fregate,NA,NA,1999
216,2000,Cousin,313,NA,2000
217,2000,Cousine,,NA,2000
218,2000,Aride,,NA,2000
219,2000,Denis,NA,NA,2000
220,2000,Fregate,NA,NA,2000
221,2001,Cousin,323,NA,2001
222,2001,Cousine,,NA,2001
223,2001,Aride,,NA,2001
224,2001,Denis,NA,NA,2001
225,2001,Fregate,NA,NA,2001
226,2002,Cousin,331,NA,2002
227,2002,Cousine,164,NA,2002
228,2002,Aride,,NA,2002
229,2002,Denis,NA,NA,2002
230,2002,Fregate,NA,NA,2002
231,2003,Cousin,322,NA,2003
232,2003,Cousine,,NA,2003
233,2003,Aride,,NA,2003
234,2003,Denis,NA,NA,2003
235,2003,Fregate,NA,NA,2003
236,2004,Cousin,330,NA,2004
237,2004,Cousine,,NA,2004
238,2004,Aride,1850,NA,2004
239,2004,Denis,58,NA,2004
240,2004,Fregate,NA,NA,2004
241,2005,Cousin,322,NA,2005
242,2005,Cousine,,NA,2005
243,2005,Aride,,NA,2005
244,2005,Denis,74,NA,2005
245,2005,Fregate,NA,NA,2005
246,2006,Cousin,339,NA,2006
247,2006,Cousine,,NA,2006
248,2006,Aride,,NA,2006
249,2006,Denis,111,NA,2006
250,2006,Fregate,NA,NA,2006
251,2007,Cousin,369,NA,2007
252,2007,Cousine,210,NA,2007
253,2007,Aride,,NA,2007
254,2007,Denis,129,NA,2007
255,2007,Fregate,NA,NA,2007
256,2008,Cousin,335,NA,2008
257,2008,Cousine,,NA,2008
258,2008,Aride,,NA,2008
259,2008,Denis,129,NA,2008
260,2008,Fregate,NA,NA,2008
261,2009,Cousin,312,NA,2009
262,2009,Cousine,,NA,2009
263,2009,Aride,,NA,2009
264,2009,Denis,198,NA,2009
265,2009,Fregate,NA,NA,2009
266,2010,Cousin,320,NA,2010
267,2010,Cousine,,NA,2010
268,2010,Aride,,NA,2010
269,2010,Denis,207,NA,2010
270,2010,Fregate,NA,NA,2010
271,2011,Cousin,310,NA,2011
272,2011,Cousine,,NA,2011
273,2011,Aride,,NA,2011
274,2011,Denis,246,NA,2011
275,2011,Fregate,59,NA,2011
276,2012,Cousin,303,NA,2012
277,2012,Cousine,,NA,2012
278,2012,Aride,,NA,2012
279,2012,Denis,246,NA,2012
280,2012,Fregate,59,NA,2012
281,2013,Cousin,295,NA,2013
282,2013,Cousine,,NA,2013
283,2013,Aride,,NA,2013
284,2013,Denis,301,ID1,2013
285,2013,Fregate,80,ID3,2013
286,2014,Cousin,337,NA,2014
287,2014,Cousine,,NA,2014
288,2014,Aride,,NA,2014
289,2014,Denis,NA,NA,2014
290,2014,Fregate,NA,NA,2014
291,2015,Cousin,281,NA,2015
292,2015,Cousine,,NA,2015
293,2015,Aride,,NA,2015
294,2015,Denis,NA,NA,2015
295,2015,Fregate,NA,NA,2015
296,2016,Cousin,267,NA,2016
297,2016,Cousine,,NA,2016
298,2016,Aride,,NA,2016
299,2016,Denis,NA,NA,2016
300,2016,Fregate,NA,NA,2016
301,2017,Cousin,288,NA,2017
302,2017,Cousine,,NA,2017
303,2017,Aride,,NA,2017
304,2017,Denis,NA,NA,2017
305,2017,Fregate,NA,NA,2017
306,2018,Cousin,314,NA,2018
307,2018,Cousine,,NA,2018
308,2018,Aride,,NA,2018
309,2018,Denis,NA,NA,2018
310,2018,Fregate,NA,NA,2018
311,2019,Cousin,351,NA,2019
312,2019,Cousine,,NA,2019
313,2019,Aride,,NA,2019
314,2019,Denis,NA,NA,2019
315,2019,Fregate,NA,NA,2019
316,2020,Cousin,271,NA,2020
317,2020,Cousine,,NA,2020
318,2020,Aride,,NA,2020
319,2020,Denis,NA,NA,2020
320,2020,Fregate,NA,NA,2020
321,2021,Cousin,289,NA,2021
322,2021,Cousine,,NA,2021
323,2021,Aride,,NA,2021
324,2021,Denis,NA,NA,2021
325,2021,Fregate,NA,NA,2021
326,2022,Cousin,250,NA,2022
327,2022,Cousine,,NA,2022
328,2022,Aride,,NA,2022
329,2022,Denis,875,ID1,2022
330,2022,Fregate,561,ID3,2022
331,2023,Cousin,227,NA,2023
332,2023,Cousine,NA,NA,2023
333,2023,Aride,NA,NA,2023
334,2023,Denis,NA,NA,2023
335,2023,Fregate,NA,NA,2023
336,2024,Cousin,184,NA,2024
337,2024,Cousine,NA,NA,2024
338,2024,Aride,NA,NA,2024
339,2024,Denis,NA,NA,2024
340,2024,Fregate,NA,NA,2024
